product_id,run_id,normalized_text,product_kind,medical_device_profile,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_administration_route_raw,attr_dosage_form_raw,attr_age_segment_raw,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
59,398,ЗОЛИНБЕРГ БОГЕМИЯ пилка стеклянная д/ухода за ногтями 233CZ-1202B Bogemia Glass | Bogemia Glass | Bogemia Glass,other,,0.9,"Товар относится к категории 'other' (нелекарственное средство, не БАД и не медизделие). Согласно профилю атрибутов, применимы только бренд, возрастной сегмент и подсказка упаковки; остальные фармацевтические поля не применимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Bogemia Glass,,,,,,не применимо,,не применимо,,,,не применимо,,стеклянная пилка для ухода за ногтями,,,
64,398,НУТРИКОМП ДРИНК ПЛЮС ФАЙБЕР смесь жидкая Персиково-Абрикосовый 200мл Нутрихем Диет+Фарма ГмбХ | Нутрихем Диет+Фарма ГмбХ | Нутрихем Диет+Фарма ГмбХ,other,,0.7,"Товар относится к категории 'other' (вероятно, специализированное питание). Согласно профилю атрибутов, применимы только бренд, возрастной сегмент и упаковка, поэтому фармацевтические атрибуты не заполняются.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Нутрикомп Дринк Плюс Файбер,,,,,,не применимо,,не применимо,,,,не применимо,,200 мл,,,
934,398,ЭЛАСМА НАКОЛЕННИК C-350 ТРИКОТАЖНО-ЭЛАСТИЧНЫЙ Р.7 №1 | Тонус АО | Тонус АО,medical_device,clinical_like,0.8,"Товар относится к медицинским изделиям (клинический профиль), поэтому MNN, Rx/OTC, нозология и комбинационные подсказки не применимы. Указаны бренд, форма выпуска (наколенник), путь введения (наружно) и упаковка.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,наколенник,,,,Тонус,,,,,,наружно,,,,,,,,1 шт,,,
1080,398,ЭЙ ЭНД ДИ ТОНОМЕТР МЕХАНИЧЕСКИЙ UA-100 ЭКОНОМ | ЭЙ ЭНД ДИ | ЭЙ ЭНД ДИ,medical_device,clinical_like,0.7,"Товар является медицинским изделием (тонометр механический). Для данного типа изделия атрибуты, связанные с лекарственными средствами, не применимы, поэтому заполнен только бренд.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,ЭЙ ЭНД ДИ,,,,,,,,,,,,,,,,,
1206,398,"ЭВО БАЛЬЗАМ ДЛЯ ГУБ SOS 2,8Г | АВАНТА ОАО | АВАНТА ОАО",cosmetic_hygiene,,0.8,"Товар относится к категории косметика и гигиена (бальзам для губ). Согласно профилю атрибутов, заполняются только бренд, возрастной сегмент и упаковка; остальные фармацевтические поля не применимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,ЭВО,,,,,,не применимо,,не применимо,,,,не применимо,,"2,8 г",,,
1448,398,ШИПОВНИКА ПЛОДЫ 100Г ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО,drug,,0.7,"Товар относится к категории 'drug' (лекарственное средство) и представляет собой растительное сырье - плоды шиповника. На основе названия и подсказок определены основные атрибуты: действующее вещество, форма выпуска, путь введения и упаковка. Дозировка и возрастной сегмент не указаны, поэтому оставлены пустыми.",True,,pending_fallback,direction_select,,semantic_primary,success,per os,плоды,,Шиповника плоды,,Здоровье,,otc,,Растительные холеретики,,перорально,,,,,,,,100 г,,,
3020,398,ФЛУОМИЗИН ТАБЛ. ВАГ. 10МГ №6 | РОТТЕНДОРФ ФАРМА ГМБХ/МЕДИНОВА АГ | РОТТЕНДОРФ ФАРМА ГМБХ/МЕДИНОВА АГ,drug,,0.9,Препарат Флуомизин (декалиния хлорид) является лекарственным средством для лечения вагинальных инфекций. Атрибуты определены на основе названия и формы выпуска.,True,,pending_fallback,direction_select,,semantic_primary,success,вагинально,таблетки вагинальные,взрослые,декалиния хлорид,,Флуомизин,,rx,,вагинальные инфекции,,,,таблетки,,10мг,,взрослые,,№6,,,
3079,398,ФЛУИМУЦИЛ ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 200МГ ПАК. №20 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,drug,,0.9,"Товар является лекарственным препаратом (drug), поэтому все фармацевтические атрибуты применимы. На основе названия определены МНН (ацетилцистеин), бренд, форма выпуска, дозировка и путь введения. Возрастной сегмент и комбинированный характер не указаны.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,гранулы для приготовления раствора для приема внутрь,,Ацетилцистеин,,Флуимуцил,,rx,,Кашель,,перорально,,гранулы,,200 мг,,,,пакет №20,,,
4294,398,ТРОМБОСТЕН ТАБЛ. КИШ-РАСТ. П/ПЛЕН/ОБ. 50МГ №100 | ОЗОН ООО | ОЗОН ООО,drug,,0.85,"Товар является лекарственным препаратом (drug). На основе названия и формы выпуска определены бренд, путь введения, лекарственная форма, дозировка и размер упаковки. MNN и показания не указаны в исходных данных.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,"таблетки, покрытые кишечнорастворимой пленочной оболочкой",взрослый,,,Тромбостен,,rx,,,,перорально,,таблетки,,50мг,,взрослые,,100 таблеток,,,
5022,398,ТЕРАЛИВ 275 ТАБЛ. П/ПЛЕН/ОБ. 275МГ №12 | БАЙЕР БИТТЕРФЕЛЬД ГМБХ | БАЙЕР БИТТЕРФЕЛЬД ГМБХ,other,,0.7,"Товар относится к категории 'other', поэтому часть фармацевтических атрибутов (mnn, rx_otc, nosology, administration_route, combination_hint) не применима. Из названия извлечены форма выпуска, дозировка и размер упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,"таблетки, покрытые пленочной оболочкой",,,,Тералив,,,,,,не применимо,,таблетки,,275 мг,,,,12 таблеток,,,
