product_id,normalized_text,product_kind,pass_action,identity_gate_status,final_mnn_method_before,final_candidate_mnn_before,input_explicit_mnn,input_explicit_mnn_confidence,input_explicit_strength,previous_catalog_mnn,previous_enrichment_mnn,previous_enrichment_status,needs_human_review_before,reason
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,drug,skip_catalog,resolved_catalog,catalog_consensus,Левофлоксацин,,none,none,Левофлоксацин,,,false,catalog_consensus_retained
10,"НАТРИЯ ХЛОРИД 0,9% 400мл N12 р-р д/инфузий Биосинтез | Биосинтез ПАО | Биосинтез ПАО | N12",drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Натрия хлорид,Натрия хлорид,high,strong,,Натрия хлорид,ok,false,identity_gate_already_used_enrichment
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,drug,skip_catalog,resolved_catalog,catalog_consensus,Метформин,,none,none,Метформин,,,false,catalog_consensus_retained
34,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok,true,single_source
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Гепарин натрия,,none,none,,Гепарин натрия,ok,false,identity_gate_already_used_enrichment
56,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
60,ДИКЛОФЕНАК 25мг/мл 3мл N10 р-р для в/м введения Дальхимфарм ОАО | Дальхимфарм ОАО | Дальхимфарм ОАО | N10,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Диклофенак,,none,none,,Диклофенак,ok,false,identity_gate_already_used_enrichment
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,drug,skip_catalog,resolved_catalog,catalog_consensus,Эплеренон,,none,none,Эплеренон,,,false,catalog_consensus_retained
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,drug,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,Розувастатин,Розувастатин,high,strong,,,,false,strong_input_explicit_accepted
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok,true,empty
73,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok,true,empty
86,ТАДАЛАФИЛ-АЛИУМ 20мг N8 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N8,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Тадалафил,,none,none,,Тадалафил,ok,false,identity_gate_already_used_enrichment
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,drug,new_enrichment,unresolved_catalog,unresolved,,Гесперидин,low,weak,,,,true,weak_explicit_soft_signal_only
