product_id,run_id,normalized_text,product_kind,medical_device_profile,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_administration_route_raw,attr_dosage_form_raw,attr_age_segment_raw,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
2,406,ЛИБРИДЕРМ АЕВИТ набор (Гель д/умывания тонизирующий 100мл+Крем питательный дневной 50мл+Крем-детокс ночной 50мл) Биофармрус | Биофармрус ООО | Биофармрус ООО,cosmetic_hygiene,,0.9,"Товар относится к категории косметических средств (cosmetic_hygiene), поэтому фармацевтические атрибуты (МНН, рецептурность, нозология, форма выпуска, дозировка) неприменимы. Указаны бренд и состав набора.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,ЛИБРИДЕРМ АЕВИТ,,,,,,не применимо,,не применимо,,,,не применимо,,набор: гель для умывания 100мл + крем дневной 50мл + крем-детокс ночной 50мл,,,
3,406,"ШПРИЦ ОДНОРАЗОВЫЙ трехкомпонентный 10мл с иглой 21G 0,8х40мм N1 Huaian City Hengchun Medical Product Co., Ltd. | Huaian city hengchun medical product Co Ltd | Huaian city hengchun medical product Co Ltd | 21 G | N1",medical_device,clinical_like,0.85,"Товар является медицинским изделием (шприц одноразовый), поэтому поля mnn, rx_otc, nosology и combination_hint не применимы. Указаны форма выпуска, объем и количество в упаковке.",True,,pending_fallback,direction_select,,semantic_primary,success,инъекционное введение,шприц,,,,,,,,,,инъекционное,,,,10 мл,,,,1 шт,,,
4,406,БИ ВЕЛЛ КЕА межпальцевый разделитель арт.FW-636 р.M N2 B.Well | B.Well | B.Well | N2,medical_device,clinical_like,0.7,"Товар является медицинским изделием (межпальцевый разделитель) с профилем clinical_like. Атрибуты mnn, rx_otc, nosology и combination_hint не применимы, поэтому они установлены в null. Бренд и упаковка извлечены из текста.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,B.Well,,,,,,,,,,,,,,2 шт,,,
5,406,ШУНГИТ гель д/умывания Мягкий нейтральный 200мл Фратти нв ООО | Фратти НВ ООО | Фратти НВ ООО,cosmetic_hygiene,,0.9,"Товар относится к категории косметики и гигиены (cosmetic_hygiene), поэтому фармацевтические атрибуты (МНН, рецептурность, нозология и др.) неприменимы. Из доступных полей заполнены бренд и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Фратти НВ,,,,,,не применимо,,не применимо,,,,не применимо,,200 мл,,,
7,406,"ЙОКОСАН трусики-подгузники р.XL 12-20кг N16 Цюаньчжоу Сеньор Трейдинг Ко.,ЛТД | Цюаньчжоу Сеньор Трейдинг Ко.,ЛТД | Цюаньчжоу Сеньор Трейдинг Ко.,ЛТД | N16",medical_device,hygiene_like,0.8,"Товар относится к медицинским изделиям (гигиенический тип), поэтому фармацевтические атрибуты не применимы. Указан размер XL (12-20 кг) и количество 16 штук, что позволяет определить возрастной сегмент и упаковку.",True,,pending_fallback,direction_select,,semantic_primary,success,,,дети,,,,,,,,,не применимо,,не применимо,,,,дети,,16 штук,,,
8,406,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,drug,,0.9,"Товар является лекарственным препаратом (drug) с полным набором применимых атрибутов. На основе названия и формы выпуска определены МНН (Левофлоксацин), бренд, дозировка и форма. Препарат отпускается по рецепту, применяется перорально у взрослых.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,"таблетки, покрытые пленочной оболочкой",взрослые,Левофлоксацин,,Хайлефлокс,,rx,,Инфекционные заболевания,,перорально,,таблетки,,500 мг,,взрослые,,N5,,,
9,406,НАУ ФУДС БЕТА-КАРОТИН капс. N90 NOW International | Now International | Now International | N90,vitamin_or_baa,,0.8,"Товар относится к витаминам и БАД, поэтому rx_otc не применим. На основе названия определены МНН (бета-каротин), бренд, форма выпуска и упаковка. Дозировка и возрастной сегмент не указаны.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,капсулы,,Бета-каротин,,Now Foods,,,,Моно-витамины витамин A (ретинола ацетат/пальмитат),,перорально,,капсулы,,,,универсальный,,N90,,,
10,406,"НАТРИЯ ХЛОРИД 0,9% 400мл N12 р-р д/инфузий Биосинтез | Биосинтез ПАО | Биосинтез ПАО | N12",drug,,0.9,Товар является лекарственным средством (инфузионный препарат) с активным веществом натрия хлорид. Атрибуты определены на основе текста и профиля применимости.,True,,pending_fallback,direction_select,,semantic_primary,success,инфузионно,раствор для инфузий,,Натрия хлорид,,,,rx,,,,внутривенно,,раствор,,"0,9%",,,,400мл N12,,,
14,406,БЕБИ БАЛАНС пенка-шампунь с маслами д/размягчения молочных корочек у младенца 0+ 250мл УНИК Косметик ООО | УНИК Косметик ООО | УНИК Косметик ООО,cosmetic_hygiene,,0.9,"Товар относится к категории косметика и гигиена, поэтому фармацевтические атрибуты (МНН, рецептурность, нозология, форма выпуска, дозировка) неприменимы. Извлекаем только бренд, возрастной сегмент и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,0+,,,БЕБИ БАЛАНС,,,,,,не применимо,,не применимо,,,,не применимо,,250мл,,,
16,406,ДОКТОР СИА крем д/рук питательный с грязью и минералами Мертвого моря 100мл Фарма Нейчаралс ЛТД | Фарма Нейчаралс ЛТД | Фарма Нейчаралс ЛТД,cosmetic_hygiene,,0.9,"Товар относится к категории косметика/гигиена (cosmetic_hygiene), поэтому фармацевтические атрибуты (MNN, Rx/OTC, нозология, форма выпуска, дозировка) неприменимы. Извлечены только бренд и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,ДОКТОР СИА,,,,,,не применимо,,не применимо,,,,не применимо,,100мл,,,
20,407,СПИРУЛИНА-ФИТОСИЛА маска д/лица увлажняющая с витамином А 150мл Корвет Фарма | Корвет фарма ООО | Корвет фарма ООО,cosmetic_hygiene,,0.9,"Товар относится к категории косметических средств (косметика и гигиена), поэтому фармацевтические атрибуты, такие как МНН, рецептурность, нозология, форма выпуска и дозировка, неприменимы. Из доступных атрибутов заполнены бренд и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Корвет Фарма,,,,,,не применимо,,не применимо,,,,не применимо,,150 мл,,,
25,407,АУРА СОЛНЦЕ И ЛУНА подгузники-трусы Нежное прикосновение р.5 13-20кг N40 Коттон клаб | Коттон Клаб ООО | Коттон Клаб ООО | N40,medical_device,hygiene_like,0.9,"Товар относится к медицинским изделиям (гигиенический тип), поэтому фармацевтические атрибуты не применимы. Извлечены бренд, возрастной сегмент и количество в упаковке.",True,,pending_fallback,direction_select,,semantic_primary,success,,,дети,,,Коттон Клаб,,,,,,не применимо,,не применимо,,,,дети,,40 штук,,,
26,407,ГЕЛЬТЕК САН ПРОТЕКШН крем мультипротектор оил фри SPF50+ 100г Гельтек-Медика | Гельтек-Медика ООО | Гельтек-Медика ООО,cosmetic_hygiene,,0.9,"Товар относится к категории косметика/гигиена (cosmetic_hygiene), поэтому фармацевтические атрибуты (МНН, рецептурность, нозология, форма выпуска, дозировка) неприменимы. Из доступных атрибутов определены бренд и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Гельтек-Медика,,,,,,не применимо,,не применимо,,,,не применимо,,100г,,,
27,407,НУТРИКОМП ЭНЕРГИЯ ФАЙБЕР ЛИКВИД смесь 1л Nutrichem Diet+Pharma | Nutrichem diet und pharma | Nutrichem diet und pharma,other,,0.7,"Товар относится к категории 'other', поэтому большинство фармацевтических атрибутов неприменимы. Извлекаем только бренд и упаковку, так как они разрешены профилем.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Nutrichem Diet+Pharma,,,,,,не применимо,,не применимо,,,,не применимо,,1 л,,,
28,407,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,drug,,0.7,"Товар является лекарственным препаратом (drug), поэтому все фармацевтические атрибуты применимы. Название и форма выпуска указаны в тексте, однако точная нозология и комбинация не определены.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,таблетки с пролонгированным высвобождением,взрослый,Мерифатин,,Мерифатин,,rx,,,,перорально,,таблетки,,750 мг,,взрослые,,60 таблеток,,,
31,407,ЛЯ РОШ ПОЗЕ ЭФАКЛАР набор (Лосьон сужающий поры 200мл+Гель очищающий 200мл -50%) Ля Рош Позе | Ля Рош Позе | Ля Рош Позе,cosmetic_hygiene,,0.9,"Товар относится к категории косметика/гигиена, поэтому фармацевтические атрибуты (МНН, рецептурность, нозология, форма, дозировка) неприменимы. Указаны бренд и состав набора.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Ля Рош Позе,,,,,,не применимо,,не применимо,,,,не применимо,,набор: лосьон 200мл + гель 200мл,,,
32,407,МЕДИФАРМА КОСМЕТИКС ОЛИВЕН тоник д/лица интенсив 200мл Dr. Theiss Naturwaren GmbH | Dr.Theiss Naturwaren Gmbh | Dr.Theiss Naturwaren Gmbh,cosmetic_hygiene,,0.9,"Товар относится к категории косметика и гигиена, поэтому фармацевтические атрибуты (МНН, рецептурность, нозология, форма выпуска, дозировка) неприменимы. Указаны только бренд и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Dr. Theiss Naturwaren GmbH,,,,,,не применимо,,не применимо,,,,не применимо,,200 мл,,,
34,407,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,drug,,0.85,"Товар является лекарственным препаратом (drug), поэтому все фармацевтические атрибуты применимы. На основе названия и дозировки определены показание (бессонница), путь введения и форма выпуска. Возрастной сегмент и рецептурный статус предположительны.",True,,pending_fallback,direction_select,,semantic_primary,success,peroral,"таблетки, покрытые пленочной оболочкой",adult,,,Меладапт,,rx,,Бессонница,,,,таблетки,,3 мг,,взрослые,,10 таблеток,,,
35,407,"ТИГРОВЫЙ ГЛАЗ ОРТО крем от сухих мозолей 75мл Медикомед НПФ,ООО | Медикомед НПФ ООО | Медикомед НПФ ООО",medical_device,hygiene_like,0.8,"Товар относится к медицинским изделиям с профилем hygiene_like, поэтому заполнены только бренд и упаковка. Остальные фармацевтические атрибуты неприменимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Тигровый глаз,,,,,,не применимо,,не применимо,,,,не применимо,,75 мл,,,
39,407,ДЕТРИМЕД капли д/приема внутрь водный р-р Витамин Д3 500МЕ/капля 10мл Медикал горизон ООО | Медикал горизон ООО | Медикал горизон ООО,vitamin_or_baa,,0.9,"Товар относится к витаминам (витамин D3), поэтому rx_otc не применим. Атрибуты mnn, nosology, administration_route, dosage_form, dosage и package_hint определены из текста. Возрастной сегмент и комбинированный признак не указаны.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,капли для приема внутрь,,Холекальциферол,,Детримед,,,,Витамин D3,,перорально,,капли,,500 МЕ/капля,,универсальный,,10 мл,,,
43,408,ЛЕВРАНА гель д/интимной гигиены 250мл Леврана ООО | Леврана ООО | Леврана ООО,cosmetic_hygiene,,0.9,"Товар относится к категории косметических средств для гигиены (cosmetic_hygiene). Согласно профилю атрибутов, заполняются только бренд, возрастной сегмент и подсказка по упаковке; остальные фармацевтические поля не применимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Леврана,,,,,,не применимо,,не применимо,,,,не применимо,,250 мл,,,
45,408,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,drug,,0.7,"Товар относится к категории drug, поэтому все атрибуты применимы. Название указывает на витаминно-минеральный комплекс для кожи, волос и ногтей, но точный состав не указан, поэтому MNN и дозировка не определены.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,таблетки,взрослые,,,АКВИОН,,otc,,Кожные заболевания,,перорально,,таблетки,,,,взрослые,,N60,,,
47,408,ТОНУС бинт эластичный УНГА-СР 8x200см арт.C-306 Тонус | Тонус АО | Тонус АО,medical_device,clinical_like,0.85,"Товар относится к медицинским изделиям (клинический профиль), поэтому MNN, Rx/OTC, нозология и комбинированный признак неприменимы. Бренд и форма выпуска определены из названия.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,бинт эластичный,,,,Тонус,,,,,,наружно,,,,8x200см,,,,1 шт,,,
52,408,АВЕН ГИДРАНС ВВ-ЛЕЖЕР эмульсия увлажняющая с тонирующим эффектом SPF30 40мл Пьер фабр | Пьер Фабр | Пьер Фабр,cosmetic_hygiene,,0.9,"Товар относится к категории косметика и гигиена, поэтому фармацевтические атрибуты (МНН, рецептурность, нозология, форма выпуска, дозировка) неприменимы. Указаны бренд и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Авен,,,,,,не применимо,,не применимо,,,,не применимо,,40 мл,,,
54,408,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,drug,,0.9,"Товар является лекарственным препаратом (drug) с явным указанием МНН, дозировки и формы выпуска. Все атрибуты применимы, кроме бренда и комбинации, которые не указаны.",True,,pending_fallback,direction_select,,semantic_primary,success,в/в и п/к,раствор для инъекций,взрослые,Гепарин натрия,,,,rx,,"Тромбоз, тромбоэмболия",,инъекционное,,раствор,,5000 ЕД/мл,,взрослые,,5 мл №5,,,
56,408,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,drug,,0.6,"Товар относится к категории drug, поэтому фармацевтические атрибуты применимы. Из текста удалось определить форму выпуска (таблетки), путь введения (перорально) и количество в упаковке (60 таблеток). Остальные атрибуты, такие как МНН, дозировка и возрастной сегмент, не указаны в названии.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,таблетки,,,,РИТОФЛЕКС МСМ,,,,,,перорально,,таблетки,,,,,,60 таблеток,,,
60,408,ДИКЛОФЕНАК 25мг/мл 3мл N10 р-р для в/м введения Дальхимфарм ОАО | Дальхимфарм ОАО | Дальхимфарм ОАО | N10,drug,,0.9,"Товар является лекарственным препаратом (drug), поэтому все фармацевтические атрибуты применимы. На основе текста определены МНН, путь введения, лекарственная форма, дозировка и упаковка. Возрастной сегмент и рецептурный статус предположительны.",True,,pending_fallback,direction_select,,semantic_primary,success,в/м,раствор для инъекций,взрослые,Диклофенак,,,,rx,,Боль,,инъекционное,,раствор,,"25 мг/мл, 3 мл",,взрослые,,"ампулы, 10 шт.",,,
61,408,АРАВИЯ ПРОФЕШНЛ мист д/лица экспресс-увлажнение с мочевиной 10% 150мл Лаборатория Эксперт | Лаборатория эксперт ООО | Лаборатория эксперт ООО,cosmetic_hygiene,,0.9,"Товар относится к категории косметика и гигиена (cosmetic_hygiene), поэтому фармацевтические атрибуты, такие как МНН, рецептурность, нозология, путь введения, лекарственная форма и дозировка, неприменимы. Извлекаются только бренд и упаковка.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Аравия Профешнл,,,,,,не применимо,,не применимо,,,,не применимо,,150 мл,,,
63,408,СФМ ПЛАСТЫРЬ 2х250см тканевая основа СФМ Госпитал Продактс ГмбХ | СФМ Госпитал Продактс Гмбх | СФМ Госпитал Продактс Гмбх,medical_device,clinical_like,0.85,"Товар является медицинским изделием (пластырь) с клиническим профилем, поэтому для него применимы форма выпуска, дозировка и путь введения, но не применимы MNN, рецептурность, нозология и комбинационные признаки. Бренд и размер упаковки извлечены из текста.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,пластырь,,,,СФМ Госпитал Продактс ГмбХ,,,,,,наружно,,пластырь,,2x250 см,,,,2x250 см,,,
68,408,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,drug,,0.9,"Товар является лекарственным препаратом (drug), поэтому все фармацевтические атрибуты применимы. На основе названия определены МНН, бренд, форма выпуска, дозировка и упаковка. Препарат отпускается по рецепту.",True,,pending_fallback,direction_select,,semantic_primary,success,per os,"таблетки, покрытые пленочной оболочкой",взрослые,Эплеренон,,Эплеренон-Тева,,rx,,Хроническая сердечная недостаточность,,перорально,,таблетки,,25 мг,,взрослые,,30 таблеток,,,
70,409,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,drug,,0.95,"Товар является лекарственным препаратом (drug), поэтому все фармацевтические атрибуты применимы. На основе названия и дозировки определены МНН, форма, дозировка и упаковка. Препарат отпускается по рецепту, применяется внутрь у взрослых для лечения дислипидемии.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,"таблетки, покрытые пленочной оболочкой",взрослые,Розувастатин,,Розувастатин-Тева,,rx,,Дислипидемия,,перорально,,таблетки,,20 мг,,взрослые,,N90,,,
72,409,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,drug,,0.7,"Товар является лекарственным препаратом (drug). На основе текста определены форма выпуска, дозировка и упаковка, но МНН и возрастной сегмент не указаны.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,таблетки,,,,Фарингал,,otc,,простуда и ОРВИ,,перорально,,таблетки,,650 мг,,,,10 таблеток,,,
73,409,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,drug,,0.85,"Лекарственный препарат для лечения изжоги, содержит комбинацию действующих веществ. Отпускается без рецепта, предназначен для взрослых.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,таблетки жевательные,взрослые,,,Гастрасан Экспресс,,otc,,Изжога,,перорально,,таблетки жевательные,,680мг+80мг,,взрослые,,N12,,комбинированный,
75,409,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,drug,,0.7,"Товар относится к категории drug (лекарственное средство) и имеет профиль атрибутов, допускающий заполнение всех полей. На основе названия и формы выпуска определены бренд, путь введения, лекарственная форма и дозировка, однако возрастной сегмент и комбинированный состав не указаны.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,таблетки,,,,Самбукус Бузина Иммунитет,,otc,,простуда и ОРВИ,,перорально,,таблетки,,700 мг,,,,30 таблеток,,,
76,409,АЙХЕРЦ КАЛЬЦИЙ+ВИТАМИН Д3 таб. шипучие N20 FreiCare Swiss AG | FreiCare Swiss AG | FreiCare Swiss AG | N20,vitamin_or_baa,,0.85,"Товар относится к категории витаминов/БАД (vitamin_or_baa). На основе названия определены действующее вещество (кальций и витамин D3), форма выпуска (шипучие таблетки) и количество в упаковке. Дозировка и возрастной сегмент не указаны, поэтому эти поля оставлены пустыми.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,таблетки шипучие,,Кальций + витамин D3,,Айхерц,,,,Комплексные профили,,перорально,,таблетки,,,,универсальный,,20 таблеток,,Кальций + витамин D3,
77,409,ВИТАЙМ пастилки мармеладные Витамин С со вкусом клубники N30 ВТФ ООО | ВТФ ООО | ВТФ ООО | N30,vitamin_or_baa,,0.85,"Товар относится к категории витаминов и БАД (vitamin_or_baa), поэтому rx_otc не применим. На основе названия и семейства продукта определены МНН (аскорбиновая кислота), форма выпуска и количество в упаковке. Дозировка и возрастной сегмент не указаны, поэтому оставлены пустыми.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,пастилки мармеладные,,Аскорбиновая кислота,,ВИТАЙМ,,,,Моно-витамин C,,перорально,,,,,,универсальный,,30,,,
81,409,ТЕТРАЛАБ КОМПЛЕКС ИМБИРЬ + ЧЕСНОК капс. N60 Квадрат-С ООО | Квадрат-С ООО | Квадрат-С ООО | N60,vitamin_or_baa,,0.7,"Товар относится к БАДам (product_kind: vitamin_or_baa, family: БАДы). На основе названия определены бренд, лекарственная форма, путь введения и возрастной сегмент. Дозировка и МНН не указаны, поэтому эти поля оставлены пустыми.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,капсулы,взрослые,,,ТЕТРАЛАБ,,,,нутрицевтики,,перорально,,капсулы,,,,взрослые,,60 капсул,,имбирь + чеснок,
84,409,ЭКОПЛАСТ КИНЕЗИО ТЕЙП 5смх5м белый НордеПласт ЛСЭЗ | Нордепласт ЛСЭЗ | Нордепласт ЛСЭЗ,medical_device,clinical_like,0.85,"Товар является медицинским изделием (клинический тип) — кинезиологический тейп. Бренд и размеры указаны в названии, поэтому заполнены соответствующие поля, а фармацевтические атрибуты (МНН, рецептурность, нозология) неприменимы.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,тейп,,,,Экопласт,,,,,,наружно,,,,5см x 5м,,,,1 шт,,,
85,409,ХЕРБИОН маска д/лица грязевая с экстрактом Морских Водорослей 100мл Herbion Pakistan Pvt. Ltd. | Herbion pakistan pvt. Ltd | Herbion pakistan pvt. Ltd,cosmetic_hygiene,,0.9,"Товар относится к категории косметика и гигиена (cosmetic_hygiene), поэтому фармацевтические атрибуты (МНН, рецептурность, нозология, форма выпуска и дозировка) неприменимы. Из доступных атрибутов заполнены бренд и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Herbion,,,,,,не применимо,,не применимо,,,,не применимо,,100 мл,,,
