product_id,normalized_text,final_candidate_mnn,pass_action,identity_gate_status,current_age,current_age_method,sem_age,previous_enrichment_age,identity_enrichment_age,age_replay_value,age_replay_decision,age_replay_reason,pilot_stratum,label_age_pilot,label_age_pilot_notes,manual_age_min_years,manual_age_min_years_source,manual_age_population_scope,manual_age_segment_reconciled,manual_age_segment_decision,manual_age_reconciliation_status,manual_age_reconciliation_reason,manual_age_threshold_confidence,manual_age_needs_threshold_review,label_age_min_years_manual,label_age_population_scope_manual,label_age_segment_manual,label_age_threshold_notes,reviewed_age_min_years,reviewed_age_min_years_source,reviewed_age_population_scope,reviewed_age_segment,reviewed_age_decision,reviewed_age_reconciliation_status,reviewed_age_reconciliation_reason,reviewed_age_threshold_confidence,reviewed_age_needs_manual_reconciliation,reviewed_age_source
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,,new_enrichment,unresolved_catalog,not_applicable,not_applicable,взрослые,взрослые,универсальный,unknown,insufficient_existing_evidence,historical not_applicable without approved M2 non-drug gate; do not infer non-drug or conflict from historical field alone,special_identity_product,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,Гепарин натрия,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,взрослые,универсальный,,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=универсальный identity=empty. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,,new_enrichment,unresolved_catalog,универсальный,previous_enrichment,,универсальный,универсальный,unknown,downgrade_unsupported_to_unknown,"current=универсальный via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,,,,,12,m4_2_explicit_reviewer_note,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,preserved_m4_2_deterministic,"No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,m4_2_deterministic
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,"Гесперидин, Диосмин",new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
844,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,Левокарнитин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,medium,true,0,children_and_adults,универсальный,Применение у детей с рождения и у взрослых.,0,manual_followup,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,resolved_from_explicit_threshold,Manual min=0 with children_and_adults → универсальный. 12/14/15/16 + child+adult scope is not взрослые. Threshold is kept as labelled; not remapped to another year.,high,false,manual_followup
884,"ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ №56 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",Эсциталопрам,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,,,взрослые,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО",Тимьяна ползучего трава,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,,универсальный,,unknown,downgrade_unsupported_to_unknown,"current=универсальный via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,,,,,12,m4_2_explicit_reviewer_note,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,preserved_m4_2_deterministic,"No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,m4_2_deterministic
1765,ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ №50 | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О. | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Нитрофурал,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,взрослые,универсальный,,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=универсальный identity=empty. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,medium,true,0,children_and_adults,универсальный,Применение у детей с рождения и у взрослых.,0,manual_followup,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,resolved_from_explicit_threshold,Manual min=0 with children_and_adults → универсальный. 12/14/15/16 + child+adult scope is not взрослые. Threshold is kept as labelled; not remapped to another year.,high,false,manual_followup
