review_bucket,product_id,run_id,decision_status,final_source,final_category_id,final_confidence,deepest_stage,stratum,product_type_guess,shortlist_count,product_text,manufacturer_effective,final_explanation,expert_final_category_id,expert_is_critical,expert_notes
auto_sample_25pct,2611,500,classified,fallback_2b,221,0.98,fallback_2b,short_shortlist,other,1,ФУРОСЕМИД ТАБЛ. 40МГ №50 ОЗОН | ОЗОН ООО/ОЗОН ФАРМ ООО | ОЗОН ООО/ОЗОН ФАРМ ООО,ОЗОН ООО/ОЗОН ФАРМ ООО,"Препарат фуросемид является петлевым диуретиком, применяемым для лечения гипертонии и отёков, что полностью соответствует категории LS_CARDIO_MNN_D07_03. Механизм действия и показания к применению точно совпадают с описанием ветки.",,,
auto_sample_25pct,3173,507,classified,fallback_2b,606,0.65,fallback_2b,dirty_text,other,5,ФЛЕМОКСИН СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 500МГ №20 | АСТЕЛЛАС ФАРМА ЮРОП Б.В./ОРТАТ АО | АСТЕЛЛАС ФАРМА ЮРОП Б.В./ОРТАТ АО,АСТЕЛЛАС ФАРМА ЮРОП Б.В./ОРТАТ АО,"Товар является системным антибиотиком (амоксициллин), тогда как выбранная категория относится к местным антисептикам для полости рта. Несмотря на несоответствие механизма действия и формы выпуска, это единственная доступная опция в шортлист",,,
auto_sample_25pct,3381,506,classified,fallback_2b,1265,0.85,fallback_2b,dirty_text,other,5,ФИТОКОСМЕТИК КРЕМ-ХНА В ГОТОВОМ ВИДЕ С РЕПЕЙНЫМ МАСЛОМ БЕСЦВЕТНАЯ УКРЕПЛЯЮЩАЯ 50МЛ | Фитокосметик ООО | Фитокосметик ООО,Фитокосметик ООО,"Товар является косметическим средством (крем-хна) для ухода за волосами, что не соответствует узкой специализации категории на детской косметике и средствах под подгузник. Однако, поскольку это единственная доступная категория в шортлисте и",,,
auto_sample_25pct,3804,493,classified,llm,838,0.95,primary_llm,dirty_text,other,5,ФАМОТИДИН ЛИОФ. Д/Р-РА ДЛЯ В/В ВВЕД. 20МГ ФЛ. №5 С РАСТВОРИТЕЛЕМ КРАСФАРМА | КРАСФАРМА ПАО | КРАСФАРМА ПАО,КРАСФАРМА ПАО,"Товар содержит активное вещество фамотидин и предназначен для внутривенного введения, что точно соответствует категории 'Фамотидин инъекционный'. Категория с ID 741 (Прогестерон) не подходит, так как содержит другое действующее вещество.",,,
auto_sample_25pct,4875,495,classified,llm,1194,0.95,primary_llm,type_device_mi,device,5,ТЕСТ-ПОЛОСКИ УРИ-РН ИНДИКАТОРНЫЕ ДЛЯ ПОЛУКОЛИЧЕСТВЕННОГО ОПРЕДЕЛЕНИЯ PH В МОЧЕ №50 | БИОСЕНСОР АН ООО | БИОСЕНСОР АН ООО,БИОСЕНСОР АН ООО,"Товар представляет собой тест-полоски для определения pH мочи, что полностью соответствует категории экспресс-диагностики для домашнего применения. Категория 1194 является наиболее точным совпадением из предложенного шортлиста с максимальны",,,
auto_sample_25pct,7023,494,classified,llm,1117,0.95,primary_llm,dirty_text,other,5,СЕНИ МЕН УРОЛОГИЧЕСИКЕ ВКЛАДЫШИ ДЛЯ МУЖЧИН СУПЕР №20 | TZMO S.A. | TZMO S.A.,TZMO S.A.,"Товар явно соответствует категории урологических вкладышей для мужчин, что подтверждается названием и высоким баллом кандидатов из shortlist. Категория 1117 является наиболее точным совпадением по смыслу и коду.",,,
auto_sample_25pct,7026,496,classified,llm,1108,0.95,primary_llm,type_device_mi,female_hygiene,5,СЕНИ ЛЕДИ УРОЛОГИЧЕСКИЕ ПРОКЛАДКИ ЭКСТРА №15 | TZMO S.A. | TZMO S.A.,TZMO S.A.,"Товар точно соответствует описанию категории «Прокладки урологические женские впитывающие», что подтверждается названием и эвристикой female_hygiene. Категория с ID 1108 имеет наивысший балл среди кандидатов и наиболее полно отражает назнач",,,
auto_sample_25pct,7424,509,classified,fallback_2b,1215,0.95,fallback_2b,short_shortlist,other,2,САЛФЕТКА СПИРТОВАЯ АНТИСЕПТИЧЕСКАЯ 60Х100ММ №20 АСЕПТИКА | АСЕПТИКА М.К. ООО | АСЕПТИКА М.К. ООО,АСЕПТИКА М.К. ООО,"Товар представляет собой спиртовые антисептические салфетки, предназначенные для обработки кожи, что полностью соответствует категории «Антисептики для кожи и слизистых». Все варианты в шорт-листе относятся к одной семантической группе, поэ",,,
auto_sample_25pct,7561,497,classified,fallback_2b,914,0.85,fallback_2b,type_bad,supplement,5,РЫБИЙ ЖИР НАТУРАЛЬНЫЙ ФЛ. 50МЛ (БАД) ТВЕРСКАЯ ФФ | ТВЕРСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА | ТВЕРСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА,ТВЕРСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА,"Рыбий жир является естественным источником витамина D3, что делает категорию «Витамин D3» наиболее релевантной для данного продукта в рамках выбранной ветки классификации.",,,
auto_sample_25pct,14525,509,classified,fallback_2b,1256,0.98,fallback_2b,dirty_text,other,5,ЛОШАДИНАЯ СИЛА СКРАБ ДЛЯ ТЕЛА ЛИМФОДРЕНАЖНЫЙ ДЛЯ РОСКОШНОЙ И СИЯЮЩЕЙ КОЖИ 300МЛ | ДИНА+ ООО | ДИНА+ ООО,ДИНА+ ООО,"Товар представляет собой скраб для тела, который напрямую относится к категории лосьонов, кремов и масел для тела. Это косметический продукт, а не лекарственное средство или медицинское изделие.",,,
