product_id,run_id,normalized_text,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
36,315,ТАУФОН ТАБС ЛЮТЕИН N120 таб. покрытые пленочной оболочкой Фармстандарт-УфаВИТА ОАО | Фармстандарт-Уфавита ОАО | Фармстандарт-Уфавита ОАО | N120,0.7,"Товар относится к БАД (нутрицевтики). Наименование содержит указание на два компонента — таурин и лютеин, поэтому mnn и combination_hint заполнены, а rx_otc не применим. Дозировка не указана, поэтому dosage — null.",True,,pending_fallback,direction_select,,semantic_primary,success,Таурин + Лютеин,,Тауфон,,,,нутрицевтики,,внутрь,,таблетки покрытые пленочной оболочкой,,,,,,120 таблеток,,Таурин + Лютеин,
71,315,ПРОСТАТОТИС ВИТАМИР табл. N30 Квадрат-С ООО | Квадрат-С ООО | Квадрат-С ООО | N30,0.7,"Товар относится к категории БАД (vitamin_or_baa). Из названия определены: форма выпуска — таблетки, количество в упаковке — 30. Торговое название — 'ПРОСТАТОТИС ВИТАМИР'. МНН и дозировка не указаны, поэтому они равны null. Присвоена носология 'нутрицевтики' на основе типа продукта и семейства 'Урология'.",True,,pending_fallback,direction_select,,semantic_primary,success,,,ПРОСТАТОТИС ВИТАМИР,,,,нутрицевтики,,перорально,,таблетки,,,,,,30 таблеток,,,
91,315,ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,0.95,"Товар является лекарственным препаратом (drug). Все семантические атрибуты применимы и извлечены из названия: МНН Тигециклин, бренд Тигацил, дозировка 50 мг, лекарственная форма лиофилизат для инфузий, способ введения инфузионный, упаковка N10. Возрастной сегмент и комбинация не указаны, поэтому оставлены null.",True,,pending_fallback,direction_select,,semantic_primary,success,Тигециклин,,Тигацил,,rx,,Инфекции,,Инфузионно,,Лиофилизат для приготовления раствора для инфузий,,50 мг,,,,N10,,,
254,315,Я САМАЯ ПАЛОЧКИ ВАТНЫЕ №200 СТАКАН | КОТТОН КЛАБ ООО | КОТТОН КЛАБ ООО,0.95,"Товар является медицинским изделием (гигиеническое средство — ватные палочки). Согласно профилю атрибутов, заполняются только бренд, возрастной сегмент и упаковка; остальные фармацевтические атрибуты не применимы. Бренд определён как 'Коттон Клаб', количество — 200 штук в стакане, возрастной сегмент не указан.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Коттон Клаб,,,,,,,,,,,,,,200 шт в стакане,,,
459,315,ЭТОРЕЛЕКС ТАБЛ. П/ПЛЕН/ОБ. 90МГ №28 | ФАРМАСИНТЕЗ АО | ФАРМАСИНТЕЗ АО,0.9,"Товар является лекарственным препаратом (drug). На основе названия определено МНН: эториоксиб, бренд: Эторелекс. Лекарственная форма, дозировка и упаковка указаны в наименовании.",True,,pending_fallback,direction_select,,semantic_primary,success,эторикоксиб,,Эторелекс,,rx,,Боль,,перорально,,таблетки покрытые пленочной оболочкой,,90 мг,,взрослые,,28 таблеток,,Монопрепарат,
1347,315,ШПРИЦ ОДНОРАЗ. 3-Х КОМП. 20МЛ LUER-SLIP ИГЛА ПРИЛОЖ. 21G №1 VM | VOGT MEDICAL | VOGT MEDICAL | 21 G,0.9,"Товар — медицинское изделие (шприц одноразовый клинического типа), поэтому MNN, рецептурность, нозология и комбинационный признак не применимы. Из текста извлечены: бренд VOGT MEDICAL, путь введения инъекционный, лекарственная форма 'шприц', дозировка 20 мл, упаковка 1 штука.",True,,pending_fallback,direction_select,,semantic_primary,success,,,VOGT MEDICAL,,,,,,инъекционный,,шприц,,20 мл,,,,1 шт,,,
1423,315,ШОЛЛЬ ПИЛКА VELVET SMOOTH WET&DRY ЭЛЕКТР. РОЛИКОВАЯ С АККУМУЛЯТОРОМ | РЕКИТТ БЕНКИЗЕР | РЕКИТТ БЕНКИЗЕР,0.95,"Товар относится к категории косметика/гигиена (пилка для ногтей). По профилю атрибутов заполняются только бренд, возрастной сегмент и подсказка упаковки; остальные атрибуты не применимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Шолль,,,,,,,,,,,,,,,,,
1623,315,ЧЕРНИКА ФОРТЕ С ЛЮТЕИНОМ КАПС. №45 ФАРМ-ПРО | ФАРМ-ПРО ПК ООО | ФАРМ-ПРО ПК ООО,0.9,"Товар является БАД для зрения. Согласно attr_profile, rx_otc не применим. Атрибуты brand, dosage_form, administration_route, package_hint и combination_hint извлечены из названия, остальные не указаны явно.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Фарм-Про,,,,нутрицевтики,,перорально,,капсулы,,,,,,45 капсул,,комбинированный БАД (черника + лютеин),
2131,315,ХУДЕЕМ ЗА НЕДЕЛЮ БАТОНЧИК ФРУКТОВЫЙ ОЧИЩАЮЩИЙ КОМПЛЕКС 70Г №7 | ЛЕОВИТ НУТРИО | ЛЕОВИТ НУТРИО,0.7,"Товар является БАД для похудения (нутрицевтик) в форме батончика. Поля rx_otc неприменимо, остальные заполнены на основе названия и подсказок.",True,,pending_fallback,direction_select,,semantic_primary,success,Комплекс,,Леовит Нутрио,,,,нутрицевтики,,peroral,,батончик,,,,взрослые,,70 г №7,,комбинированный,
2148,315,ХОНСАТ Р-Р ДЛЯ В/М ВВЕД. 100МГ/МЛ АМП. 2МЛ №5 | Армавирская биологическая фабрика/Эллара ООО | Армавирская биологическая фабрика/Эллара ООО,0.6,"Продукт является лекарственным средством (drug) для опорно-двигательного аппарата. Из названия извлечены форма выпуска (раствор для в/м введения), дозировка (100 мг/мл) и упаковка (ампулы 2 мл №5), однако МНН, бренд, нозология и другие атрибуты не определены из-за недостатка информации.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,,,,внутримышечно,,раствор для инъекций,,100 мг/мл,,,,"ампулы 2 мл, №5",,,
