product_id,run_id,normalized_text,medical_device_profile,product_family,product_kind,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
36,317,ТАУФОН ТАБС ЛЮТЕИН N120 таб. покрытые пленочной оболочкой Фармстандарт-УфаВИТА ОАО | Фармстандарт-Уфавита ОАО | Фармстандарт-Уфавита ОАО | N120,,БАД для зрения,vitamin_or_baa,0.75,"Товар является БАД для зрения (vitamin_or_baa), поэтому rx_otc не применим. На основе названия и формы выпуска извлечены бренд, форма, путь введения и указание на комбинацию. Дозировка не указана, МНН для комбинированного БАД не задан.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Тауфон,,,,нутрицевтики,,внутрь,,таблетки покрытые пленочной оболочкой,,,,,,120 таблеток,,Таурин + Лютеин,
71,317,ПРОСТАТОТИС ВИТАМИР табл. N30 Квадрат-С ООО | Квадрат-С ООО | Квадрат-С ООО | N30,,Урология,vitamin_or_baa,0.7,"Товар относится к категории витамины/БАД. Препарат в форме таблеток, используется для поддержки простаты. Некоторые атрибуты не указаны явно, заполнены на основе названия и формы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Простатотис Витамир,,,,нутрицевтики,,перорально,,таблетки,,,,,,N30,,,
91,317,ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,,Инфузии,drug,0.9,"Товар является лекарственным препаратом (drug) с МНН Тигециклин, бренд Тигацил. Дозировка 50 мг, форма выпуска — лиофилизат для инфузий, упаковка 10 флаконов. Отпускается по рецепту (Rx).",True,,pending_fallback,direction_select,,semantic_primary,success,Тигециклин,,Тигацил,,rx,,Инфекционные заболевания,,Внутривенно,,Лиофилизат для приготовления раствора для инфузий,,50 мг,,,,10 флаконов,,,
254,317,Я САМАЯ ПАЛОЧКИ ВАТНЫЕ №200 СТАКАН | КОТТОН КЛАБ ООО | КОТТОН КЛАБ ООО,hygiene_like,Гигиена и косметика,medical_device,0.9,"Это медицинское изделие, гигиеническое средство (ватные палочки). В соответствии с профилем атрибутов для hygiene_like, заполняются только бренд, возрастной сегмент и подсказка упаковки. Возрастной сегмент не указан, поэтому null. Бренд определён как 'Коттон Клаб', подсказка упаковки — '200 шт'.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Коттон Клаб,,,,,,,,,,,,,,200 шт,,,
459,317,ЭТОРЕЛЕКС ТАБЛ. П/ПЛЕН/ОБ. 90МГ №28 | ФАРМАСИНТЕЗ АО | ФАРМАСИНТЕЗ АО,,Боль и Температура,drug,0.95,"Препарат Эторелекс (МНН: эторикоксиб) является рецептурным НПВП, применяется при ревматоидном артрите, остеоартрите и анкилозирующем спондилите. Форма выпуска - таблетки покрытые пленочной оболочкой 90 мг, 28 штук. Атрибуты определены на основе названия и упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,эторикоксиб,,Эторелекс,,рецептурный,,"ревматоидный артрит, остеоартрит, анкилозирующий спондилит",,перорально,,таблетки покрытые пленочной оболочкой,,90 мг,,взрослые,,28 таблеток,,,
1347,317,ШПРИЦ ОДНОРАЗ. 3-Х КОМП. 20МЛ LUER-SLIP ИГЛА ПРИЛОЖ. 21G №1 VM | VOGT MEDICAL | VOGT MEDICAL | 21 G,clinical_like,Приборы и средства для инъекций,medical_device,0.95,"Товар относится к медицинским изделиям (клинический тип). Извлечены применимые атрибуты: бренд (VOGT MEDICAL), путь введения (инъекционное), лекарственная форма (шприц), дозировка (20 мл) и упаковка (1 шт.). Остальные поля не применимы согласно профилю атрибутов.",True,,pending_fallback,direction_select,,semantic_primary,success,,,VOGT MEDICAL,,,,,,инъекционное,,шприц,,20 мл,,,,1 шт.,,,
1423,317,ШОЛЛЬ ПИЛКА VELVET SMOOTH WET&DRY ЭЛЕКТР. РОЛИКОВАЯ С АККУМУЛЯТОРОМ | РЕКИТТ БЕНКИЗЕР | РЕКИТТ БЕНКИЗЕР,,,cosmetic_hygiene,0.9,"Товар относится к категории косметика и гигиена (cosmetic_hygiene). Для данного типа продукта применимы только бренд, возрастной сегмент и подсказка по упаковке; остальные фармацевтические атрибуты отсутствуют.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Шолль,,,,,,,,,,,,взрослые,,электрическая роликовая пилка с аккумулятором,,,
1623,317,ЧЕРНИКА ФОРТЕ С ЛЮТЕИНОМ КАПС. №45 ФАРМ-ПРО | ФАРМ-ПРО ПК ООО | ФАРМ-ПРО ПК ООО,,нутрицевтики,vitamin_or_baa,0.7,"Товар относится к БАД (нутрицевтики). Атрибуты MNN не указан, дозировка не указана, возрастной сегмент не определён. На основе названия извлечены бренд 'Черника Форте', лекарственная форма 'капсулы', подсказка по упаковке '45 капсул', комбинация ингредиентов. Атрибут rx_otc неприменим.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Черника Форте,,,,нутрицевтики,,перорально,,капсулы,,,,,,45 капсул,,Черника + Лютеин,
2131,317,ХУДЕЕМ ЗА НЕДЕЛЮ БАТОНЧИК ФРУКТОВЫЙ ОЧИЩАЮЩИЙ КОМПЛЕКС 70Г №7 | ЛЕОВИТ НУТРИО | ЛЕОВИТ НУТРИО,,БАД,vitamin_or_baa,0.75,Продукт — БАД (нутрицевтик) в форме батончика для контроля веса. Атрибуты mnn и rx_otc не применимы для БАД; остальные поля заполнены по наименованию и комплектации.,True,,pending_fallback,direction_select,,semantic_primary,success,,,ЛЕОВИТ НУТРИО,,,,Нутрицевтики,,Внутрь,,Батончик,,,,Взрослые,,70г №7,,Комплекс,
2148,317,ХОНСАТ Р-Р ДЛЯ В/М ВВЕД. 100МГ/МЛ АМП. 2МЛ №5 | Армавирская биологическая фабрика/Эллара ООО | Армавирская биологическая фабрика/Эллара ООО,,Опорно-двигательный аппарат,drug,0.95,"Товар является лекарственным средством (Хонсат, хондроитина сульфат) для внутримышечного введения. Все атрибуты заполнены на основе текста названия и контекста.",True,,pending_fallback,direction_select,,semantic_primary,success,Хондроитина сульфат,,Хонсат,,rx,,Остеоартроз,,внутримышечно,,раствор для внутримышечного введения,,100 мг/мл,,взрослые,,5 ампул по 2 мл,,,
