product_id,normalized_text,final_candidate_mnn,pass_action,identity_gate_status,final_mnn_method,needs_human_review,needs_human_review_any,review_priority,final_age,final_age_method,final_age_stage,final_age_source,final_age_confidence,final_age_reason,sem_age,catalog_age,previous_enrichment_age,identity_enrichment_age,age_candidates_json,label_age,label_notes,m2_non_drug_gate,m2_final_proposed_product_kind,m2_final_override_status,manual_expected_age_hint,manual_expected_age_hint_strength,age_replay_current_value,age_replay_current_method,age_replay_current_stage,age_replay_current_source,age_replay_current_confidence,age_replay_value,age_replay_decision,age_replay_reason,age_replay_evidence_status,age_replay_identity_status,age_replay_conflict_status,age_replay_requires_review,age_replay_queue_action,age_replay_source,age_replay_policy_version
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,Левофлоксацин,skip_catalog,resolved_catalog,catalog_consensus,FALSE,FALSE,low,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",correct,,not_m2,,,,not_available,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). absence of age data != универсальный; Sem adults != adult-only. Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,true,send_to_age_contract_review,mnn_age_policy_replay_v1,age_contract_v1
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,Метформин,skip_catalog,resolved_catalog,catalog_consensus,FALSE,FALSE,low,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",correct,,not_m2,,,,not_available,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). absence of age data != универсальный; Sem adults != adult-only. Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,true,send_to_age_contract_review,mnn_age_policy_replay_v1,age_contract_v1
34,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,Мелатонин,new_enrichment,unresolved_catalog,enrichment,FALSE,FALSE,low,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,"identity enrichment run 461: status=ok, Category=Drug, Age=взрослые, evidence present",взрослые,,,взрослые,"[{""value"": ""взрослые"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",correct,,not_m2,,,,not_available,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). absence of age data != универсальный; Sem adults != adult-only. Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,true,send_to_age_contract_review,mnn_age_policy_replay_v1,age_contract_v1
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,,new_enrichment,unresolved_catalog,unresolved_final,TRUE,TRUE,high,not_applicable,not_applicable,mnn_identity_enrichment,mnn_identity_enrichment_pass_searxng_raw,high,identity enrichment run 461: Category=BAS/Other; Age not applicable,взрослые,,взрослые,универсальный,"[{""value"": ""универсальный"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",,BAS,not_m2,,,,not_available,not_applicable,not_applicable,mnn_identity_enrichment,mnn_identity_enrichment_pass_searxng_raw,high,conflict,conflict_requires_evidence,unresolved comparable-source conflict (multiple_source_conflict); sem=взрослые prev=взрослые identity=универсальный. No source winner. Display=conflict; current value not accepted.,conflict,D,multiple_source_conflict,true,send_to_age_contract_review,mnn_age_policy_replay_v1,age_contract_v1
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,Гепарин натрия,reuse_existing_enrichment,resolved_enrichment,enrichment,FALSE,FALSE,low,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=универсальный; weaker sources differ: sem_baseline=взрослые",взрослые,,универсальный,,"[{""value"": ""универсальный"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",incorrect,возрастной сегмент - взрослый,not_m2,,,взрослые,explicit_label_note,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=универсальный identity=empty. No source winner. Display=conflict; current value not accepted.,conflict,unknown,baseline_vs_enrichment_conflict,true,send_to_age_contract_review,mnn_age_policy_replay_v1,age_contract_v1
56,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,,new_enrichment,unresolved_catalog,unresolved_final,TRUE,TRUE,high,not_applicable,not_applicable,mnn_identity_enrichment,mnn_identity_enrichment_pass_searxng_raw,high,identity enrichment run 461: Category=BAS/Other; Age not applicable,,,,взрослые,"[{""value"": ""взрослые"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}]",,BAS,approved,bas,applied,,not_available,not_applicable,not_applicable,mnn_identity_enrichment,mnn_identity_enrichment_pass_searxng_raw,high,not_applicable,m2_not_applicable_candidate,approved M2 BAS/Other non-drug; Age not needed for drug routing; kind=bas; override_status=applied. Proposal-only; current Age and product_kind unchanged.,not_applicable,not_applicable,not_applicable,false,not_applicable_no_drug_age_review,m2_reviewed_policy_v1,age_contract_v1
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,Эплеренон,skip_catalog,resolved_catalog,catalog_consensus,FALSE,FALSE,low,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",correct,,not_m2,,,,not_available,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). absence of age data != универсальный; Sem adults != adult-only. Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,true,send_to_age_contract_review,mnn_age_policy_replay_v1,age_contract_v1
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,Розувастатин,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,FALSE,FALSE,low,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",correct,,not_m2,,,,not_available,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). absence of age data != универсальный; Sem adults != adult-only. Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,true,send_to_age_contract_review,mnn_age_policy_replay_v1,age_contract_v1
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,,new_enrichment,unresolved_catalog,unresolved_final,TRUE,TRUE,high,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=универсальный",,,универсальный,универсальный,"[{""value"": ""универсальный"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""универсальный"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}]",,BAS,not_m2,,,,not_available,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,unknown,downgrade_unsupported_to_unknown,"current=универсальный via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). absence of age data != универсальный; Sem adults != adult-only. Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,true,send_to_age_contract_review,mnn_age_policy_replay_v1,age_contract_v1
73,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,"Кальция карбонат, Магния карбонат",new_enrichment,unresolved_catalog,enrichment,FALSE,FALSE,low,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,"identity enrichment run 461: status=ok, Category=Drug, Age=универсальный, evidence present; weaker sources differ: sem_baseline=взрослые",взрослые,,,универсальный,"[{""value"": ""универсальный"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",correct,,not_m2,,,,not_available,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. No source winner. Display=conflict; current value not accepted.,conflict,C,baseline_vs_enrichment_conflict,true,send_to_age_contract_review,mnn_age_policy_replay_v1,age_contract_v1
