product_id,normalized_text,final_candidate_mnn,final_rx_otc,final_rx_otc_method,final_rx_otc_stage,final_rx_otc_source,final_rx_otc_confidence,final_rx_otc_reason,sem_rx_otc,catalog_rx_otc,previous_enrichment_rx_otc,identity_enrichment_rx_otc,rx_otc_candidates_json,pass_action,identity_gate_status,new_enrichment_status,research_summary,evidence_urls,label_rx_otc,label_notes,needs_human_review_rx_otc,review_priority,audit_data_gaps,rx_otc_error_bucket,manual_expected_rx_otc_hint
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,rx,otc,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}, {""value"": ""otc"", ""method"": ""catalog"", ""stage"": ""catalog_resolution"", ""source"": ""mnn_catalog_resolution_wave500_v3_identity_gate"", ""confidence"": ""medium""}]",skip_catalog,resolved_catalog,,pass_action=skip_catalog; catalog_consensus_retained,,incorrect,"препарат otc, возрастной сегмент - универсальный",FALSE,high,previous enrichment RX/OTC absent; previous enrichment Age absent; Sem Age absent; catalog Age absent/unknown,wrong_rx_otc_value,otc
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,Амброксол,rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,rx,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",skip_strong_input_mnn,resolved_input_explicit,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,incorrect,"препарат otc, возрастной сегмент - универсальный",FALSE,low,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown,wrong_rx_otc_value,otc
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Нитрофурал,rx,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated RX/OTC=rx",rx,,rx,,"[{""value"": ""rx"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",reuse_existing_enrichment,resolved_enrichment,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,incorrect,препарат OTC,FALSE,low,catalog RX/OTC absent/unknown; catalog Age absent/unknown,wrong_rx_otc_value,otc
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,Йод,rx,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated RX/OTC=rx; weaker sources differ: sem_baseline=otc",otc,,rx,,"[{""value"": ""rx"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""otc"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",reuse_existing_enrichment,resolved_enrichment,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,incorrect,препарат OTC,FALSE,low,catalog RX/OTC absent/unknown; Sem Age absent; catalog Age absent/unknown,wrong_rx_otc_value,otc
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,Мебеверин,rx,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,"identity enrichment run 461: status=ok, Category=Drug, RX/OTC=rx, evidence present",rx,,,rx,"[{""value"": ""rx"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",new_enrichment,unresolved_catalog,ok,"status=ok | Category=Drug | mnn=мебеверин | RX_OTC=RX | Age=Взрослый | Дюспаталин является лекарственным средством (препаратом), действующее вещество — мебеверин (в виде гидрохлорида). Согласно инструкции, препарат показан взрослым от 18 лет для симптоматического лечения боли, спазмов, дисфункции и дискомфорта в области кишечника, связанных с…",https://www.rlsnet.ru/drugs/dyuspatalin-11389 | https://www.vidal.ru/drugs/duspatalin__1486 | https://aptekamos.ru/tovary/lekarstva/mebeverin-6238/dyuspatalin-kapsuly-200mg-22631/instrukciya | https://www.rlsnet.ru/drugs/dyuspatalin-11389 | https://www.vidal.ru/drugs/duspatalin__1486 | https://megapteka.ru/specials/guide_dyuspatalin-instrukciya-po-5640 | https://www.webapteka.ru/drugbase/name13218.html | https://www.vidal.ru/drugs/duspatalin__1486 | https://www.rlsnet.ru/drugs/dyuspatalin-11389 | https://health.mail.ru/drug/dyuspatalin/ | https://yandex.ru/medicine/medicaments/djuspatalin | https://medi.ru/instrukciya/dyuspatalin_19704/,incorrect,препарат OTC,FALSE,low,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown,wrong_rx_otc_value,otc
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Ацетилсалициловая кислота,rx,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,"identity enrichment run 461: status=ok, Category=Drug, RX/OTC=rx, evidence present",,,,rx,"[{""value"": ""rx"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}]",new_enrichment,unresolved_catalog,ok,"status=ok | Category=Drug | mnn=Ацетилсалициловая кислота | RX_OTC=RX | Age=Универсальный | САНОВАСК содержит действующее вещество ацетилсалициловую кислоту (АСК) (источник: lsgeotar.ru). Препарат выпускается в форме таблеток кишечнорастворимых, покрытых пленочной оболочкой, 50 мг (источник: vidal.ru). Согласно инструкции, препарат применяется для профилактики…",https://www.vidal.ru/drugs/sanovasc | https://www.lsgeotar.ru/drugs/sanovasc-AEUn | https://www.rlsnet.ru/drugs/sanovask-75403 | https://grls.rosminzdrav.ru/ | https://www.lsgeotar.ru/drugs/sanovasc-ADcV | http://drugs.thead.ru/SANOVASK | https://www.rlsnet.ru/drugs/sanovask-75403 | https://www.vidal.ru/drugs/sanovasc | https://medvisor.ru/medicine/drug/sanovask_39420/ | https://grls.rosminzdrav.ru/ | https://avexima.ru/upload/iblock/5f4/o5oavm0mg1b7f5j7f1mqrnipexcx4gc0.pdf | https://www.webapteka.ru/drugbase/name53516.html,incorrect,"препарат otc, возрастной сегмент - взрослый",FALSE,low,previous enrichment RX/OTC absent; Sem RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; Sem Age absent; catalog Age absent/unknown,wrong_rx_otc_value,otc
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Папаверин,rx,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,"identity enrichment run 461: status=ok, Category=Drug, RX/OTC=rx, evidence present",rx,,,rx,"[{""value"": ""rx"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",new_enrichment,unresolved_catalog,ok,"status=ok | Category=Drug | mnn=Папаверин | RX_OTC=RX | Age=Универсальный | Препарат Папаверин является лекарственным средством (МНН: Папаверин). Согласно данным Государственного реестра лекарственных средств (ГРЛС), препарат отпускается по рецепту (источник: https://grls.pharm-portal.ru/grls/2993c030-54eb-4632-962e-e5c44550ab39). Инструкции указывают,…",https://www.rlsnet.ru/drugs/papaverin-26592 | https://www.vidal.ru/drugs/papaverin__5582 | https://www.rlsnet.ru/drugs/papaverin-26592 | https://allmed.pro/ru/drugs/papaverin | https://www.rlsnet.ru/drugs/papaverin-26592 | https://megapteka.ru/specials/guide_papaverin-instrukciya-po-873 | https://medi.ru/instrukciya/papaverin_22138/ | https://www.vidal.ru/drugs/papaverine__18543 | https://health.mail.ru/drug/papaverin_1/ | https://b-apteka.ru/articles/papaverin | https://medi.ru/instrukciya/papaverin_22140/ | https://medum.ru/papaverine,incorrect,препарат OTC,FALSE,low,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown,wrong_rx_otc_value,otc
19198,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,,otc,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=otc,otc,,otc,otc,"[{""value"": ""otc"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""otc"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""otc"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",new_enrichment,unresolved_catalog,ok_partial,"status=ok_partial | Category=Drug | RX_OTC=OTC | Age=Универсальный | Зверобоя трава является лекарственным средством (ЛС) согласно данным Государственного реестра лекарственных средств (ГРЛС) и других источников. МНН (международное непатентованное название) в предоставленных результатах поиска не указано, поэтому оно не определено. Препарат…",https://pharmproduct.ru/drugs/zveroboia-trava | https://www.lsgeotar.ru/drugs/st-johns-wort-herb-BBOD | https://www.rlsnet.ru/drugs/zveroboya-trava-4291 | https://health.mail.ru/drug/zveroboya-trava/ | https://www.rlsnet.ru/drugs/zveroboya-trava-4291 | https://health.mail.ru/drug/zveroboya-trava-1/ | https://medi.ru/instrukciya/zveroboya-trava_19776/ | https://www.lsgeotar.ru/cs/zveroboya-trava-12211.html | https://www.vidal.ru/drugs/hyperici_herba__30245 | https://www.vidal.ru/drugs/hyperici_herba__28959 | https://www.pharmcontrol.ru/reference/inn/400/ | https://www.pharmcontrol.ru/registry/drugs/16633/,incorrect,"Drug (Трава зверобоя), ОТС, Взрослый",FALSE,high,previous enrichment RX/OTC present but status not ok; catalog RX/OTC absent/unknown; previous enrichment Age present but status not ok; Sem Age absent; catalog Age absent/unknown,wrong_rx_otc_value,
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",Аморолфин,rx,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,"identity enrichment run 461: status=ok, Category=Drug, RX/OTC=rx, evidence present",rx,,,rx,"[{""value"": ""rx"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",new_enrichment,unresolved_catalog,ok,"status=ok | Category=Drug | mnn=Аморолфин | RX_OTC=RX | Age=Взрослый | Экзоролфинлак — лекарственный препарат, действующее вещество аморолфин (МНН). Применяется для лечения грибкового поражения ногтей (онихомикоза) у взрослых. Отпускается по рецепту. Инструкция по применению доступна на сайтах drugs.medelement.com, medi.ru, rlsnet.ru и других.",https://www.lsgeotar.ru/drugs/exorolfinlak-AAGS | https://drugs.medelement.com/drug/%D1%8D%D0%BA%D0%B7%D0%BE%D1%80%D0%BE%D0%BB%D1%84%D0%B8%D0%BD%D0%BB%D0%B0%D0%BA-%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F/520665881602584216?instruction_lang=RU | https://health.mail.ru/drug/ekzorolfinlak-2/ | https://grls.rosminzdrav.ru/ | https://health.mail.ru/drug/ekzorolfinlak-2/ | https://medi.ru/instrukciya/ekzorolfinlak_13521/ | https://drugs.medelement.com/drug/%D1%8D%D0%BA%D0%B7%D0%BE%D1%80%D0%BE%D0%BB%D1%84%D0%B8%D0%BD%D0%BB%D0%B0%D0%BA-%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F/520665881602584216?instruction_lang=RU | https://www.webapteka.ru/drugbase/name62613.html | https://www.rlsnet.ru/drugs/ekzorolfinlak-79112 | https://www.neboleem.net/jekzorolfinlak.php | https://prg.kz/Document/?doc_id=35682609 | https://kiberis.ru/?p=26977,incorrect,препарат OTC,FALSE,low,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown,wrong_rx_otc_value,otc
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Тербинафин,rx,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,high,"identity enrichment run 461: status=ok, Category=Drug, RX/OTC=rx, evidence present",rx,,,rx,"[{""value"": ""rx"", ""method"": ""identity_enrichment"", ""stage"": ""mnn_identity_enrichment"", ""source"": ""mnn_identity_enrichment_pass_results"", ""confidence"": ""high""}, {""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",new_enrichment,unresolved_catalog,ok,"status=ok | Category=Drug | mnn=Тербинафин | RX_OTC=RX | Age=Универсальный | Термикон — лекарственное средство, действующее вещество тербинафин (МНН). Препарат относится к противогрибковым средствам класса аллиламинов. Согласно инструкции, Термикон назначают наружно взрослым и детям старше 12 лет (Vidal: https://www.vidal.ru/drugs/termicon__13678). Для…",https://www.lsgeotar.ru/drugs/termicon-ADls | https://www.lsgeotar.ru/drugs/termicon-AFpC | https://aptekamos.ru/tovary/lekarstva/terbinafin-869/termikon-tabletki-250mg-30184/instrukciya | https://apteka-april.ru/product/213409-termikon_tabletki_250mg_28 | https://www.rlsnet.ru/drugs/termikon-16124 | https://aptekamos.ru/tovary/lekarstva/terbinafin-869/termikon-krem-1-15g-29833/instrukciya | https://www.lsgeotar.ru/drugs/termicon-AD0y | https://www.lsgeotar.ru/drugs/termicon-AFpC | https://grls.rosminzdrav.ru/ | https://www.vidal.ru/drugs/termicon__13678 | https://www.vidal.ru/drugs/termicon__13678 | https://medum.ru/termikon,incorrect,препарат OTC,FALSE,low,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; Sem Age absent; catalog Age absent/unknown,wrong_rx_otc_value,otc
