product_id,normalized_text,final_candidate_mnn,pass_action,identity_gate_status,current_age,current_age_method,current_age_stage,current_age_source,sem_age,previous_enrichment_age,identity_enrichment_age,manual_expected_age_hint,manual_expected_age_hint_strength,historical_not_applicable_without_m2_gate,age_replay_value,age_replay_decision,age_replay_reason,age_replay_evidence_status,age_replay_identity_status,age_replay_conflict_status,age_replay_queue_action,label_age_contract_replay,label_age_contract_replay_notes
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,Левофлоксацин,skip_catalog,resolved_catalog,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,взрослые,,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,Метформин,skip_catalog,resolved_catalog,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,взрослые,,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
34,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,Мелатонин,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,взрослые,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,,new_enrichment,unresolved_catalog,not_applicable,not_applicable,mnn_identity_enrichment,mnn_identity_enrichment_pass_searxng_raw,взрослые,взрослые,универсальный,,not_available,true,unknown,insufficient_existing_evidence,historical not_applicable without approved M2 non-drug gate; do not infer non-drug or conflict from historical field alone,no_saved_evidence,D,unknown,require_product_specific_evidence,,
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,Гепарин натрия,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,взрослые,универсальный,,взрослые,explicit_label_note,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=универсальный identity=empty. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,unknown,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,Эплеренон,skip_catalog,resolved_catalog,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,взрослые,,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,Розувастатин,skip_strong_input_mnn,resolved_input_explicit,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,взрослые,,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,,new_enrichment,unresolved_catalog,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,,универсальный,универсальный,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=универсальный via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
73,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,"Кальция карбонат, Магния карбонат",new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,,not_available,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,C,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,"Гесперидин, Диосмин",new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,взрослые,explicit_label_note,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,D,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
