product_id,normalized_text,current_age,current_age_method,manual_expected_age_hint,manual_expected_age_hint_strength,age_error_bucket,age_source_type_guess,age_source_tier_guess,age_identity_grade_guess,age_evidence_grade_guess,age_conflict_status,proposed_age_decision,proposed_age_value,proposed_age_acceptance_tier,proposed_age_queue_action,proposed_age_reason,evidence_urls,label_age,label_notes,label_age_contract,label_age_contract_notes
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,универсальный,previous_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,unknown,,unknown,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - взрослый,,
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,универсальный,identity_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,official_manufacturer_or_MAH,P1,D,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",https://aptekamos.ru/tovary/lekarstva/gesperidin-diosmin-14901/diosperidin-tabletki-50mg-450mg-106298/instrukciya | https://medi.ru/instrukciya/diosmin-gesperidin-verteks_19523/ | https://medum.ru/gesperidin-diosmin-mnn | https://megapteka.ru/specials/guide_angiorus-instrukciya-po-2691 | https://megapteka.ru/specials/guide_flebaven-instrukciya-po-6020 | https://megapteka.ru/specials/guide_gesperidin-diosmin-instrukciya-po-4379 | https://megapteka.ru/specials/guide_venozol-instrukciya-po-7166 | https://velpharm.group/catalog/dioridinvel/ | https://www.rlsnet.ru/active-substance/gesperidin-diosmin-518 | https://www.vidal.ru/drugs/molecule/496 | https://zdravcity.ru/p_diosmin-gesperidin-verteks-tab-p-o-pljon-500mg-n30-0119927.html | https://zdravcity.ru/p_gesperedin-diosmin-tabletki-p-o-plen-100mg-900mg-30sht-0184812.html,incorrect,возрастной сегмент - взрослый,,
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,универсальный,identity_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,rls_or_vidal_product_card,P2,C,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",https://aptekamos.ru/tovary/lekarstva/escitalopram-8473/escitalopram-kanon-tabletki-20mg-91410/instrukciya | https://t-j.ru/list/psychiatric-drugs-russia/ | https://www.asna.ru/product/estsitalopram/instruction/ | https://www.rlsnet.ru/active-substance/escitalopram-2668 | https://www.rlsnet.ru/drugs/cipraleks-24934 | https://www.rlsnet.ru/drugs/eliceya-39239 | https://www.rlsnet.ru/drugs/escitalopram-66941 | https://zdravcity.ru/p_jescitalopram-kanon-tab-p-o-plen-10mg-n28-0089809.html | https://zdravcity.ru/p_jescitalopram-kanon-tab-p-o-plen-20mg-n28-0089808.html | https://zdravcity.ru/p_jescitalopram-kanon-tabletki-pokrytye-plenochnoj-obolochkoj-10mg-56sht-0269000.html,incorrect,возрастной сегмент - взрослый,,
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО",универсальный,previous_enrichment,взрослые,explicit_label_note,overbroad_universal_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_universal_without_evidence; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - взрослый,,
1765,ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ №50 | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О. | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,универсальный,identity_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,rls_or_vidal_product_card,P2,C,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",https://aptekamos.ru/tovary/lekarstva/ciproteron-1104/ciproteron-teva-tabletki-50mg-26637/instrukciya | https://health.mail.ru/drug/tsiproteronteva/ | https://medi.ru/instrukciya/tsiproteron-teva_381/ | https://www.lsgeotar.ru/drugs/cyproterone-teva-AB0h | https://www.lsgeotar.ru/drugs/cyproterone-teva-ACdc | https://www.rlsnet.ru/drugs/ciproteron-teva-21548 | https://www.vidal.ru/drugs/cyproterone-teva__6350 | https://www.webapteka.ru/drugbase/name15462.html,incorrect,возрастной сегмент - взрослый,,
2023,ЦЕЛЕКОКСИБ-ТЕВА КАПС. 200МГ №30 | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,универсальный,identity_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,rls_or_vidal_product_card,P2,D,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",https://aptekamos.ru/tovary/lekarstva/celekoksib-5352/celekoksib-teva-kapsuly-200mg-110832/instrukciya | https://dsm.ru/upload/medialibrary/164/61vbxn9ib5bkrf0xyedyjx81a772rpca/DSM-Annual_report_2025_RU.pdf | https://megapteka.ru/specials/guide_celekoksib-instrukciya-po-6725 | https://megapteka.ru/specials/guide_celeksib-instrukciya-po-6802 | https://recipe.ru/news/medpharm/minzdrav-rf-otmenil-registratsiyu-71-lekarstvennogo-sredstva/ | https://www.rlsnet.ru/active-substance/celekoksib-2360 | https://www.rlsnet.ru/active-substance/etorikoksib-2890 | https://www.vidal.ru/drugs/celecoxib-4 | https://zdravcity.ru/p_celekoksib-teva-kapsuly-200mg-30sht-0210302.html,incorrect,возрастной сегмент - взрослый,,
3027,ФЛУОКСЕТИН КАПС. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,универсальный,identity_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,rls_or_vidal_product_card,P2,C,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",https://aptekamos.ru/tovary/lekarstva/fluoksetin-999/fluoksetin-kapsuly-10mg-26666/instrukciya | https://aptekamos.ru/tovary/lekarstva/fluoksetin-999/fluoksetin-kapsuly-20mg-25971/instrukciya | https://aptekamos.ru/tovary/lekarstva/fluoksetin-999/profluzak-kapsuly-20mg-21518/instrukciya | https://grls.rosminzdrav.ru/grls.aspx | https://www.asna.ru/product/fluoksetin/instruction/ | https://www.rlsnet.ru/active-substance/fluoksetin-264 | https://www.rlsnet.ru/drugs/fluoksetin-16275 | https://www.vidal.ru/drugs/fluoxetine__13699 | https://www.vidal.ru/drugs/molecule/433,incorrect,возрастной сегмент - взрослый,,
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,unknown,not_resolved,универсальный,explicit_label_note,unknown_should_be_resolved,unknown,,unknown,none,unknown,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=unknown_should_be_resolved; current_age=unknown (not accepted); hint=универсальный/explicit_label_note; conflict=unknown; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,"препарат otc, возрастной сегмент - универсальный",,
4133,УЛЬЦЕРНИЛ ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №28 | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,универсальный,identity_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,pharmacy_product_card,P2,B,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",https://aptekamos.ru/tovary/lekarstva/rabeprazol-5929/ulcernil-tabletki-20mg-95070/instrukciya | https://grls.rosminzdrav.ru/ | https://health.mail.ru/drug/ultsernil-1/ | https://medi.ru/instrukciya/ulcernil-10_15167/ | https://medum.ru/ulcernil | https://medum.ru/ulcernil-tabletki | https://medvestnik.ru/ls/a0e408a6-e220-4c8e-a4bd-9ff8a2c146d0.html | https://www.webapteka.ru/drugbase/name71760.html | https://zdesapteka.ru/instructions/ultsernil/,incorrect,возрастной сегмент - взрослый,,
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,универсальный,identity_enrichment,взрослые,explicit_label_note,overbroad_universal_without_evidence,official_instruction_product_specific,P1,C,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_universal_without_evidence; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",https://apteka-april.ru/product/213409-termikon_tabletki_250mg_28 | https://aptekamos.ru/tovary/lekarstva/terbinafin-869/termikon-krem-1-15g-29833/instrukciya | https://grls.rosminzdrav.ru/ | https://health.mail.ru/drug/termikon/ | https://medlib.net/termikon.html | https://medum.ru/termikon | https://medvestnik.ru/ls/a0e3f418-4d20-492b-9bb8-6eeb13ee10ab.html | https://termikon.ru/instrukcii/ | https://www.rlsnet.ru/drugs/termikon-16124 | https://www.vidal.ru/drugs/termicon | https://www.vidal.ru/drugs/termicon__13678 | https://zdesapteka.ru/instructions/termikon/,incorrect,"препарат otc, возрастной сегмент - взрослый",,
