product_id,normalized_text,observed_research_category,proposed_product_kind,proposed_kind_decision,proposed_kind_confidence,proposed_kind_evidence_grade,proposed_kind_identity_grade,proposed_queue_action,proposed_mnn_action,proposed_kind_reason,evidence_urls,label_mnn,label_notes,label_kind_override,label_kind_override_notes
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,Drug,,conflict_requires_review,medium,D,C,retain_in_human_queue,keep_null_unresolved,RETAIN: decision=conflict_requires_review; category=Drug; status=ok_partial; evidence=D/ok_partial; identity=C/partial name tokens=['ФАРИНГАЛ']; conflict=True; herbal=False; label_mnn=should_be_empty,https://grls.rosminzdrav.ru/ | https://www.webapteka.ru/drugbase/name11423.html | https://www.rlsnet.ru/baa/faringal-10921 | https://grls.rosminzdrav.ru/ | https://zhurnal-vokls.ru/wp-content/uploads/2025/10/49ru_all_ok.pdf | https://minzdrav.gov.ru/opendata/7707778246-grls/visual | https://grls.pharm-portal.ru/grls?pageSize=100&sort%5Breg_date%5D=desc | https://grls.pharm-portal.ru/grls?sort%5Bholder%5D=desc,should_be_empty,BAS,approve_bas,Подтверждено вручную: БАД; не присваивать лекарственное
21387,ГЕПАВИЗИМ ФОСФОЛИПИДЫ+L-ОРИНИТИН+КУРКУМИН КАПС. ПО 495МГ №30 | ВТФ ООО | ВТФ ООО,BAS,bas,propose_bas_override,high,A,A,remove_from_future_mnn_human_queue,keep_null_not_applicable,"AUTO: Category=BAS, evidence=A/ok + BAS/Other + urls + strong identity + should_be_empty; identity=A/name+secondary match tokens=['ГЕПАВИЗИМ', 'ФОСФОЛИПИДЫ+L-ОРИНИТИН+КУРКУМИН', '495МГ']; label_mnn=should_be_empty; non-drug classification; ingredient mention is not accepted as drug MNN",https://aptekamos.ru/tovary/bad/gepavizim-16183/gepavizim-fosfolipidy-l-ornitin-kurkumin-kapsuly-massoyo-495mg-105791/instrukciya | https://www.lsgeotar.ru/supplements/AD0V | https://www.lsgeotar.ru/supplements/AD0V | https://aptekamos.ru/tovary/bad/gepavizim-16183/gepavizim-fosfolipidy-l-ornitin-kurkumin-kapsuly-massoyo-495mg-105791/instrukciya | https://medum.ru/gepavizim-fosfolipidy-l-ornitin-kurkumin-kapsuly | https://www.lsgeotar.ru/gepavizim-fosfolipidi-ornitin-kurkumin-27351.html | https://aptekamos.ru/tovary/bad/gepavizim-16183/gepavizim-fosfolipidy-l-ornitin-kurkumin-kapsuly-massoyo-495mg-105791/instrukciya | https://www.lsgeotar.ru/supplements/AD0V,should_be_empty,BAS,BAS,Подтверждено: БАД / Подтверждено: non-drug
18830,ИЗЖОГАНЕТ АНТАЦИДНЫЙ КОМПЛЕКС СО ВКУСОМ МЯТЫ ТАБЛ. 600МГ №40 | ГРИН САЙД ООО | ГРИН САЙД ООО,BAS,bas,propose_bas_override,high,A,B,remove_from_future_mnn_human_queue,keep_null_not_applicable,"AUTO: Category=BAS, evidence=A/ok + BAS/Other + urls + strong identity + should_be_empty; identity=B/name+one secondary tokens=['ИЗЖОГАНЕТ', 'АНТАЦИДНЫЙ', 'КОМПЛЕКС', 'ВКУСОМ']; label_mnn=should_be_empty; non-drug classification; ingredient mention is not accepted as drug MNN",https://www.rlsnet.ru/baa/antacidnyi-kompleks-izzoganet-86401 | https://aptekamos.ru/tovary/bad/greenside-17060/greenside-antacidnyyo-kompleks-izzhoganet-tabletki-so-vkusom-myaty-600mg-107606/instrukciya | https://www.rlsnet.ru/baa/antacidnyi-kompleks-izzoganet-86401 | https://www.rlsnet.ru/baa/antacidnyi-kompleks-izzoganet-86401 | https://apteka.ru/product/green-side-antaczidnyj-kompleks-izzhoganet-so-vkusom-myaty-n40-tabl-massoj-600mg-602e25e6152591d9cd4dc6f2/instructions/ | https://aptekamos.ru/tovary/bad/greenside-17060/greenside-antacidnyyo-kompleks-izzhoganet-tabletki-so-vkusom-myaty-600mg-107606/instrukciya | https://aptekamos.ru/tovary/bad/greenside-17060/greenside-antacidnyyo-kompleks-izzhoganet-tabletki-so-vkusom-apelsina-600mg-107605/instrukciya | https://yandex.ru/medicine/medicaments/green-side-antatsidnyj-kompleks-izzhoganet-tabletki-po-600-mg-so-vkusom-apel-sina-20-sht,should_be_empty,BAS,BAS,Подтверждено: БАД / Подтверждено: non-drug
5322,"ТАВОЛГА ВЯЗОЛИСТНАЯ (ЛАБАЗНИК) ТРАВА Ф/П 1,5Г №20 ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО",BAS,bas,propose_bas_override,medium,B,B,send_to_kind_review_queue,keep_null_not_applicable,"REVIEW-STRONG: Category=BAS; herbal/phytoproduct ambiguity; evidence_grade=B; identity=B/strong name tokens only=['ТАВОЛГА', 'ВЯЗОЛИСТНАЯ', 'ЛАБАЗНИК']; evidence=ok + BAS/Other + urls + adequate identity; non-drug classification; ingredient mention is not accepted as drug MNN",https://medum.ru/labaznik-tavolga-vyazolistnyj-trava | https://www.rlsnet.ru/baa/labaznik-tavolga-vyazolistnyi-trava-44825 | https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B2%D0%BE%D0%BB%D0%B3%D0%B0_%D0%B2%D1%8F%D0%B7%D0%BE%D0%BB%D0%B8%D1%81%D1%82%D0%BD%D0%B0%D1%8F | https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B2%D0%BE%D0%BB%D0%B3%D0%B0_(%D1%80%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%B8%D0%B5) | https://ru.ruwiki.ru/wiki/%D0%A2%D0%B0%D0%B2%D0%BE%D0%BB%D0%B3%D0%B0_%D0%B2%D1%8F%D0%B7%D0%BE%D0%BB%D0%B8%D1%81%D1%82%D0%BD%D0%B0%D1%8F | https://shop.evalar.ru/encyclopedia/item/labaznik-vyazolistnyy/ | http://medherbal.ru/tavolga.php | https://www.oum.ru/literature/zdorovje/azbuka-trav-tavolga/,should_be_empty,BAS,BAS,"Подтверждено вручную: БАД; фитопродукт, не лекарственное средство"
9197,ПОМОГУША СИРОП ДЕТСКИЙ ДЛЯ ДЕТЕЙ С 3-Х ЛЕТ ПРОТИВОПРОСТУДНЫЙ 100МЛ | ЮГ ООО | ЮГ ООО,Other,other,propose_other_override,high,A,B,remove_from_future_mnn_human_queue,keep_null_not_applicable,"AUTO: Category=Other, evidence=A/ok + BAS/Other + urls + strong identity + should_be_empty; identity=B/name+one secondary tokens=['ПОМОГУША', 'ДЕТСКИЙ', 'ДЕТЕЙ', 'ПРОТИВОПРОСТУДНЫЙ']; label_mnn=should_be_empty; non-drug classification; ingredient mention is not accepted as drug MNN",https://grls.rosminzdrav.ru/ | https://rlp2.test.egisz.rosminzdrav.ru/registries/grls | https://edu-rosminzdrav.ru/grls-mnn-chto-eto/ | https://grls.rosminzdrav.ru/ | https://aptekamos.ru/tovary/pishhevye-produkty/pomogusha-13949/pomogusha-immunomoduliruyushhiyo-sirop-detskiyo-100ml-87305/instrukciya | https://aptekamos.ru/tovary/pishhevye-produkty/pomogusha-13949/pomogusha-uspokaivayushhiyo-sirop-detskiyo-100ml-101043/instrukciya | https://pharmznanie.ru/drugs/pomogusha-sirop-detskij-uspokaivayushhij-100-ml | http://lekhar.ru/wp-content/uploads/2018/06/%D0%9F%D0%BE%D0%BC%D0%BE%D0%B3%D1%83%D1%88%D0%B0-%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F-%D0%BF%D0%BE-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D1%8E.pdf,should_be_empty,BAS,BAS,Подтверждено: БАД / Подтверждено: non-drug
11272,НООТРОП КАПС. №48 | ВИС ООО | ВИС ООО,BAS,,insufficient_evidence,low,C,C,retain_in_human_queue,keep_null_unresolved,RETAIN: decision=insufficient_evidence; category=BAS; status=ok; evidence=C/weak identity/other (C); identity=C/near-brand conflict around НООТРОП; conflict=False; herbal=False; label_mnn=should_be_empty,https://www.rlsnet.ru/drugs/nootropil-65 | https://www.vidal.ru/drugs/nootropil__606 | https://www.asna.ru/product/nootrop/instruction/ | https://www.neboleem.net/nootrop.php | https://www.vidal.ru/drugs/nootropil__607 | https://aptekamos.ru/tovary/lekarstva/piracetam-726/nootropil-tabletki-1200mg-7002/instrukciya | https://megapteka.ru/specials/guide_nootropil-instrukciya-po-1344 | https://grls.rosminzdrav.ru/,should_be_empty,BAS,approve_bas,Подтверждено вручную: БАД; не присваивать лекарственное
18179,КАЛЬЦИЯ ГЛЮКОНАТ ЭКО ТАБЛ. ПО 500МГ №10 | ЭКОТЕКС ООО | ЭКОТЕКС ООО,BAS,bas,propose_bas_override,high,A,B,remove_from_future_mnn_human_queue,keep_null_not_applicable,"AUTO: Category=BAS, evidence=A/ok + BAS/Other + urls + strong identity + should_be_empty; identity=B/name+one secondary tokens=['КАЛЬЦИЯ', 'ГЛЮКОНАТ', 'ЭКО']; label_mnn=should_be_empty; non-drug classification; ingredient mention is not accepted as drug MNN",https://medum.ru/kalciya-glyukonat-ehko | https://www.lsgeotar.ru/supplements/calcium-gluconate-eco-without-flavoring-ABDZ | https://medum.ru/kalciya-glyukonat-ehko-tabletki | https://www.rlsnet.ru/baa/kalciya-glyukonat-eko-77080 | https://bz.medvestnik.ru/drugs/8697.html | https://www.webapteka.ru/drugbase/name65668.html | https://medum.ru/kalciya-glyukonat-ehko | https://medum.ru/kalciya-glyukonat-ehko-tabletki,should_be_empty,BAS,BAS,Подтверждено: БАД / Подтверждено: non-drug
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,BAS,bas,propose_bas_override,medium,B,A,send_to_kind_review_queue,keep_null_not_applicable,"REVIEW-STRONG: Category=BAS; herbal/phytoproduct ambiguity; evidence_grade=B; identity=A/name+secondary match tokens=['САМБУКУС', 'БУЗИНА', 'ИММУНИТЕТ', 'ГРИН']; evidence=ok + BAS/Other + urls + adequate identity; non-drug classification; ingredient mention is not accepted as drug MNN",https://aptekamos.ru/tovary/bad/sambukus-buzina-immunitet-16707/sambukus-buzina-immunitet-sirop-greenside-150ml-108621/instrukciya | https://apteka.ru/product/green-side-sambukus-buzina-immunitet-sirop-150ml-61c46cf973341e2e5c7a457e/instructions/ | https://www.pmedpharm.ru/upload/iblock/f8a/ubwjtt2fq72dzdxha1epo1xlt41rlhqy/D1_81_D0_B1_D0_BE_D1_80_D0_BD_D0_B8_D0_BA_76_2021_D0_A1_D0_B0_D0_B9_D1_82_compressed.pdf | https://zdravcity.ru/p_orvis-rino-kapli-dlja-priema-vnutr-fl-100ml-0097284.html | https://www.pharmindex.ru/pdf/pharmindex_481.pdf | https://izvestiya.ggtu.ru/wp-content/uploads/2025/12/konferencziya-2.pdf | https://www.med-sovet.pro/jour/oai?verb=ListRecords&metadataPrefix=oai_dc&set=driver | https://zdravcity.ru/p_orvis-rino-kapli-dlja-priema-vnutr-fl-100ml-0097284.html,should_be_empty,BAS,BAS,"Подтверждено вручную: БАД; фитопродукт, не лекарственное средство"
249,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,BAS,bas,propose_bas_override,high,A,B,remove_from_future_mnn_human_queue,keep_null_not_applicable,"AUTO: Category=BAS, evidence=A/ok + BAS/Other + urls + strong identity + should_be_empty; identity=B/name+one secondary tokens=['ОСТЕОМЕД']; label_mnn=should_be_empty; non-drug classification; ingredient mention is not accepted as drug MNN",https://megapteka.ru/specials/guide_osteomed-forte-instrukciya-1263 | https://www.vidal.ru/drugs/osteomed | https://www.eapteka.ru/goods/vitaminy_i_bad/biologicheski_aktivnye_dobavki/bad_vitaminsoderzhashchie_mineraly/vitaminno_mineralnye_kompleksy/osteomed/ | https://grls.rosminzdrav.ru/ | https://www.lsgeotar.ru/supplements/osteomed-AEmL | https://www.vidal.ru/drugs/osteomed | https://www.vidal.ru/drugs/osteomed-forte | https://health.mail.ru/drug/osteomed_forte/,should_be_empty,BAS,BAS,Подтверждено: БАД / Подтверждено: non-drug
19198,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Drug,,keep_current_no_override,high,D,C,retain_in_human_queue,manual_mnn_review,SPECIAL: Drug + ok_partial + empty MNN; human label_mnn=incorrect (Drug/OTC/взрослый). Not BAS/Other. identity=partial name tokens=['ЗВЕРОБОЯ'],https://pharmproduct.ru/drugs/zveroboia-trava | https://www.lsgeotar.ru/drugs/st-johns-wort-herb-BBOD | https://www.rlsnet.ru/drugs/zveroboya-trava-4291 | https://health.mail.ru/drug/zveroboya-trava/ | https://www.rlsnet.ru/drugs/zveroboya-trava-4291 | https://health.mail.ru/drug/zveroboya-trava-1/ | https://medi.ru/instrukciya/zveroboya-trava_19776/ | https://www.lsgeotar.ru/cs/zveroboya-trava-12211.html,incorrect,"Drug (Трава зверобоя), ОТС, Взрослый",approve_drug,
