product_id,product_kind,normalized_text,attr_mnn,attr_rx_otc,attr_brand,attr_combination_hint,mnn_enriched,rx_otc_enriched,combination_hint_enriched,mnn_source,rx_source,confidence_enriched,explanation_enriched,error_message,enrich_kind,enrich_skip_reason,enrich_status,prompt_version
19,drug,АСКОРУТИН 50мг+50мг N50 таб. Фармцентр вилар АО | Фармцентр Вилар АО | Фармцентр Вилар АО | N50,,otc,Аскорутин,true,аскорбиновая кислота+рутин,otc,,qwen_enrichment,qwen_enrichment,0.95,Торговое название «Аскорутин» однозначно указывает на комбинацию аскорбиновой кислоты и рутина (рутозида). Препарат является безрецептурным ангиопротектором.,,drug,,enriched,prompt_enrichment_v1
36,vitamin_or_baa,ТАУФОН ТАБС ЛЮТЕИН N120 таб. покрытые пленочной оболочкой Фармстандарт-УфаВИТА ОАО | Фармстандарт-Уфавита ОАО | Фармстандарт-Уфавита ОАО | N120,Комплекс,,Тауфон Табс Лютеин,комбинированный,Комплекс,не применимо,multicomponent,qwen_enrichment,qwen_enrichment,0.95,"В названии продукта явно указаны два активных компонента: таурин и лютеин, что указывает на комбинированный состав без одного доминирующего нутриента.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
40,vitamin_or_baa,АИРА КОРНЕВИЩА 50г Фито-Бот ООО | Фито-Бот ООО | Фито-Бот ООО,,,,монокомпонентный,,не применимо,monocomponent,qwen_enrichment,qwen_enrichment,0.95,"Продукт представляет собой растительное сырье (корневища аира), которое не входит в список ключевых нутриентов или витаминов для данной задачи. Поскольку продукт состоит из одного компонента, комбинация указана как монокомпонентная.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
41,drug,"БИФРАДУАЛ 0,25мг/мл + 0,5мг/мл 20мл р-р д/ингаляций ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО",,rx,Бифрадуал,true,,unknown,,qwen_enrichment,qwen_enrichment,0.3,"В предоставленном тексте не указаны международные непатентованные наименования действующих веществ, поэтому определить МНН невозможно. Хотя препарат относится к бронхолитикам и обычно является рецептурным, без точного состава статус отпуска (rx/otc) установить нельзя.",,drug,,enriched,prompt_enrichment_v1
42,vitamin_or_baa,ГИНОКОМФОРТ КЛИМАФЕМИН таб. N20 Вертекс | Вертекс АО | Вертекс АО | N20,,,Гинокомфорт,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.95,"В предоставленном тексте отсутствует информация о составе продукта, поэтому невозможно определить ключевой нутриент или тип комбинации.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
55,drug,"БИСОМОР 2,5мг N30 таб. покрытые пленочной оболочкой Эдж Фарма Прайвет | Эдж Фарма Прайвет Лимитед | Эдж Фарма Прайвет Лимитед | N30",,рецептурный,Бисомор,,бисопролол,rx,,qwen_enrichment,qwen_enrichment,0.95,"Название бренда «Бисомор» является производным от международного непатентованного названия «бисопролол», что подтверждается дозировкой и классом бета-адреноблокаторов. Препараты этой группы являются рецептурными.",,drug,,enriched,prompt_enrichment_v1
65,vitamin_or_baa,ЭКОКУРМАКС капс. липосомальный комплекс с куркумином N60 Вектор-Медика АО | Вектор-Медика АО | Вектор-Медика АО | N60,Куркумин,,ЭКОКУРМАКС,,Куркумин,не применимо,monocomponent,qwen_enrichment,qwen_enrichment,0.95,"В названии продукта явно указан куркумин как ключевой компонент липосомального комплекса. Несмотря на формулировку «комплекс», доминирующим и единственным перечисленным активным нутриентом является куркумин.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
67,drug,ДИКЛОФАРМ 25мг/мл 3мл N5 р-р для в/м введения ВетПром АД | ВетПром АД | ВетПром АД | N5,,rx,Диклофарм,монопрепарат,диклофенак,rx,,qwen_enrichment,qwen_enrichment,0.95,"Название препарата «Диклофарм» содержит корень «дикло», что однозначно указывает на международное непатентованное наименование (МНН) диклофенак. Инъекционные формы нестероидных противовоспалительных средств, такие как диклофенак, являются рецептурными препаратами.",,drug,,enriched,prompt_enrichment_v1
78,vitamin_or_baa,ЭКОЦИСТИН порошок д/приготовления р-ра д/приема внутрь 3г N7 АВВА РУС АО | АВВА РУС АО | АВВА РУС АО | N7,,,Экоцистин,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.0,"В предоставленном тексте не указано действующее вещество или состав продукта, поэтому невозможно определить ключевой нутриент или тип комбинации.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
91,drug,ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,,рецептурный,Тигацил,,тигециклин,rx,,qwen_enrichment,qwen_enrichment,0.95,"Торговое название «Тигацил» однозначно соответствует международному непатентованному наименованию тигециклин. Препарат является антибиотиком для внутривенного введения, что подтверждает его рецептурный статус.",,drug,,enriched,prompt_enrichment_v1
